Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,55,57.3,58.8,70.3,80.2,84.5,88.2,84.9,84.8,68.2,52.8,54.3
2001,49.7,52.8,60.2,66.6,79.3,85.5,86.2,85.9,84.4,73.2,62.9,49.3
2002,51.6,57,59.2,71.6,75.8,88,86.8,86.1,82.5,69.5,61.3,50.7
2003,58.2,54.8,59.8,65.7,77.9,85.7,89.2,86.3,82.7,75.4,59,52.8
2004,52.9,50.8,66.6,66.3,77.7,84.8,87,84.9,81,69.9,56.2,52.7
2005,54.4,55.8,59.2,67.8,77.4,85.6,90.6,83.9,83.5,72.7,62.6,54.6
2006,54.5,58.3,58.7,68.5,79,88.4,88.3,83.7,78.5,70.2,63,51.1
2007,48.6,55.4,63,68.5,78,86,87.9,86.8,83,72.8,65.7,49.2
2008,51.7,55.3,60.9,68.3,73.3,87,85.6,85.4,82.4,72.9,63,53.7
2009,55.5,57.3,63.2,67,80.1,82.9,90.1,88.7,83.7,69.8,64.4,50.7
2010,53.9,53.8,58.5,65.3,73.8,86.3,88.9,86.9,84.7,72.6,58.3,56.7
2011,51.6,51.9,64,69.7,73.5,86.1,88.1,89.3,82.6,73.2,59.2,48.9
2012,55.6,55.6,60.6,69.8,79,87.8,85.7,88.2,82.1,73.4,64.8,53.4
2013,49.8,50.8,65.7,69.8,78.9,89.4,88,87.5,83,70.2,63.4,53.2
2014,57.3,60.7,64.4,69.2,77.3,88.9,88.3,85.1,82.8,75.7,61.8,54.1
2015,55.4,62.1,66.3,69,73.4,88.6,87.3,89,82.8,73.6,59.1,51.5
2016,52.5,61.1,65,68.6,75.1,88.4,90.3,85.4,80.6,77.5,64,56.3
2017,52.9,59.6,67.9,71.1,76.6,89.7,87.5,87,83,77.3,69.1,57.3
2018,59.1,57.4,63,72.6,78.5,86.8,89,86.5,84.9,69.6,59.7,53.2
2019,52.6,51.8,61.7,69.3,70.9,85.2,90.4,89.3,82.2,71.5,63.8,53.6
2020,53.4,55,60.9,69.6,80.7,86.4,91.5,92,85.7,76.1,64.8,54.2
2021,54.1,58,60.7,71.9,78.3,89.8,85.8,85.7,83,71.1,67,57.2
2022,54.3,54.3,61.7,71.8,79.5,89.1,90,85.8,84.7,71.4,57.9,54
2023,51.6,53.3,59.1,70,77.3,84.5,94.2,89.9,85.7,76.5,65.1,56.7
2024,52.8,57.1,59.7,67.3,77.2,89.2,NA,NA,NA,NA,NA,NA
